Country,Code,Year,CO2 Emissions
Australia,AUS,1850,0.18
Australia,AUS,1851,0.16
Australia,AUS,1852,0.149
Australia,AUS,1853,0.198
Australia,AUS,1854,0.22
Australia,AUS,1855,0.24
Australia,AUS,1856,0.307
Australia,AUS,1857,0.315
Australia,AUS,1858,0.299
Australia,AUS,1859,0.398
Australia,AUS,1860,0.466
Australia,AUS,1861,0.415
Australia,AUS,1862,0.561
Australia,AUS,1863,0.499
Australia,AUS,1864,0.608
Australia,AUS,1865,0.636
Australia,AUS,1866,0.813
Australia,AUS,1867,0.765
Australia,AUS,1868,0.918
Australia,AUS,1869,0.854
Australia,AUS,1870,0.797
Australia,AUS,1871,0.799
Australia,AUS,1872,0.888
Australia,AUS,1873,1.025
Australia,AUS,1874,1.105
Australia,AUS,1875,1.091
Australia,AUS,1876,1.076
Australia,AUS,1877,1.158
Australia,AUS,1878,1.224
Australia,AUS,1879,1.203
Australia,AUS,1880,1.098
Australia,AUS,1881,1.282
Australia,AUS,1882,1.474
Australia,AUS,1883,1.712
Australia,AUS,1884,1.807
Australia,AUS,1885,1.877
Australia,AUS,1886,1.798
Australia,AUS,1887,1.807
Australia,AUS,1888,1.949
Australia,AUS,1889,2.106
Australia,AUS,1890,1.786
Australia,AUS,1891,2.201
Australia,AUS,1892,2.022
Australia,AUS,1893,1.774
Australia,AUS,1894,1.968
Australia,AUS,1895,2.0
Australia,AUS,1896,2.085
Australia,AUS,1897,2.258
Australia,AUS,1898,2.387
Australia,AUS,1899,2.395
Australia,AUS,1900,2.753
Australia,AUS,1901,3.046
Australia,AUS,1902,2.986
Australia,AUS,1903,2.897
Australia,AUS,1904,2.934
Australia,AUS,1905,3.016
Australia,AUS,1906,3.538
Australia,AUS,1907,3.758
Australia,AUS,1908,4.012
Australia,AUS,1909,3.427
Australia,AUS,1910,4.09
Australia,AUS,1911,4.429
Australia,AUS,1912,4.72
Australia,AUS,1913,4.973
Australia,AUS,1914,5.328
Australia,AUS,1915,4.666
Australia,AUS,1916,4.078
Australia,AUS,1917,4.295
Australia,AUS,1918,4.609
Australia,AUS,1919,4.29
Australia,AUS,1920,4.988
Australia,AUS,1921,4.423
Australia,AUS,1922,4.547
Australia,AUS,1923,4.598
Australia,AUS,1924,4.953
Australia,AUS,1925,5.109
Australia,AUS,1926,5.006
Australia,AUS,1927,5.192
Australia,AUS,1928,4.728
Australia,AUS,1929,4.311
Australia,AUS,1930,4.09
Australia,AUS,1931,3.517
Australia,AUS,1932,3.557
Australia,AUS,1933,3.792
Australia,AUS,1934,3.976
Australia,AUS,1935,4.356
Australia,AUS,1936,4.701
Australia,AUS,1937,4.992
Australia,AUS,1938,4.942
Australia,AUS,1939,5.515
Australia,AUS,1940,5.073
Australia,AUS,1941,5.572
Australia,AUS,1942,5.867
Australia,AUS,1943,5.659
Australia,AUS,1944,5.547
Australia,AUS,1945,5.21
Australia,AUS,1946,5.596
Australia,AUS,1947,5.769
Australia,AUS,1948,5.961
Australia,AUS,1949,5.989
Australia,AUS,1950,6.816
Australia,AUS,1951,7.259
Australia,AUS,1952,7.234
Australia,AUS,1953,7.148
Australia,AUS,1954,7.546
Australia,AUS,1955,7.814
Australia,AUS,1956,8.005
Australia,AUS,1957,7.826
Australia,AUS,1958,7.91
Australia,AUS,1959,8.253
Australia,AUS,1960,8.501
Australia,AUS,1961,8.282
Australia,AUS,1962,8.487
Australia,AUS,1963,8.793
Australia,AUS,1964,9.302
Australia,AUS,1965,10.001
Australia,AUS,1966,9.984
Australia,AUS,1967,10.355
Australia,AUS,1968,10.706
Australia,AUS,1969,11.119
Australia,AUS,1970,11.74
Australia,AUS,1971,11.63
Australia,AUS,1972,11.548
Australia,AUS,1973,12.591
Australia,AUS,1974,12.118
Australia,AUS,1975,12.465
Australia,AUS,1976,12.096
Australia,AUS,1977,12.817
Australia,AUS,1978,13.308
Australia,AUS,1979,13.245
Australia,AUS,1980,13.897
Australia,AUS,1981,14.321
